"UTLA20CD","UTLA20NM","LSOA11CD","LSOA11NM","NOMIS Code"
"E06000059","Dorset","E01020503","West Dorset 008B",1249922537
"E06000059","Dorset","E01020400","East Dorset 011C",1249922436
"E06000059","Dorset","E01020504","West Dorset 008C",1249922538
"E06000059","Dorset","E01020401","East Dorset 011D",1249922437
"E06000059","Dorset","E01020505","West Dorset 011A",1249922539
"E06000059","Dorset","E01020402","East Dorset 011E",1249922438
"E06000059","Dorset","E01020506","West Dorset 003D",1249922540
"E06000059","Dorset","E01020507","West Dorset 007A",1249922541
"E06000059","Dorset","E01020508","West Dorset 002B",1249922542
"E06000059","Dorset","E01020509","West Dorset 004A",1249922543
"E06000059","Dorset","E01020510","West Dorset 004B",1249922544
"E06000059","Dorset","E01020511","West Dorset 005A",1249922545
"E06000059","Dorset","E01020512","West Dorset 012A",1249922546
"E06000059","Dorset","E01020513","West Dorset 012B",1249922547
"E06000059","Dorset","E01020514","West Dorset 012C",1249922548
"E06000059","Dorset","E01020515","West Dorset 012D",1249922549
"E06000059","Dorset","E01020516","West Dorset 012E",1249922550
"E06000059","Dorset","E01020517","West Dorset 007B",1249922551
"E06000059","Dorset","E01020518","West Dorset 010A",1249922552
"E06000059","Dorset","E01020519","West Dorset 010B",1249922553
"E06000059","Dorset","E01020520","West Dorset 010C",1249922554
"E06000059","Dorset","E01020523","West Dorset 010D",1249922555
"E06000059","Dorset","E01020524","West Dorset 010E",1249922556
"E06000059","Dorset","E01020525","West Dorset 010F",1249922557
"E06000059","Dorset","E01020526","West Dorset 009C",1249922558
"E06000059","Dorset","E01020527","West Dorset 009D",1249922559
"E06000059","Dorset","E01020528","West Dorset 009E",1249922560
"E06000059","Dorset","E01020529","West Dorset 004C",1249922561
"E06000059","Dorset","E01020530","West Dorset 003E",1249922562
"E06000059","Dorset","E01020531","West Dorset 007C",1249922563
"E06000059","Dorset","E01020532","West Dorset 005B",1249922564
"E06000059","Dorset","E01020533","West Dorset 005C",1249922565
"E06000059","Dorset","E01020534","West Dorset 003F",1249922566
"E06000059","Dorset","E01020535","West Dorset 005D",1249922567
"E06000059","Dorset","E01020536","West Dorset 007D",1249922568
"E06000059","Dorset","E01020537","West Dorset 011B",1249922569
"E06000059","Dorset","E01020538","West Dorset 011C",1249922570
"E06000059","Dorset","E01020539","West Dorset 004D",1249922571
"E06000059","Dorset","E01020540","West Dorset 004E",1249922572
"E06000059","Dorset","E01020541","West Dorset 002C",1249922573
"E06000059","Dorset","E01020542","West Dorset 001A",1249922574
"E06000059","Dorset","E01020403","East Dorset 004A",1249922439
"E06000059","Dorset","E01020404","East Dorset 004B",1249922440
"E06000059","Dorset","E01020405","East Dorset 004C",1249922441
"E06000059","Dorset","E01020406","East Dorset 004D",1249922442
"E06000059","Dorset","E01020407","East Dorset 009D",1249922443
"E06000059","Dorset","E01020408","East Dorset 009E",1249922444
"E06000059","Dorset","E01020409","East Dorset 005C",1249922445
"E06000059","Dorset","E01020410","East Dorset 005D",1249922446
"E06000059","Dorset","E01020411","East Dorset 003A",1249922447
"E06000059","Dorset","E01020412","East Dorset 003B",1249922448
"E06000059","Dorset","E01020413","East Dorset 003C",1249922449
